1,532,225,6
2,1109,467,2
3,1062,447,2
4,2641,1110,2
5,1860,784,2
6,3062,1288,2
7,489,208,2
8,1045,440,2
9,4221,1771,2
10,1829,771,2
11,562,237,2
12,770,325,2
13,2672,1124,2
14,1009,426,2
15,2012,848,2
16,1197,504,2
17,1379,581,2
18,1743,734,2
19,1029,433,2
20,1197,504,2
21,1116,470,2
22,1535,647,2
23,1096,462,2
24,2651,1114,2
25,1477,622,2
26,1214,512,6
27,1965,828,2
28,1525,643,2
29,1472,619,2
30,666,281,2
31,1832,772,2
32,1607,678,2
33,956,404,2
34,2264,951,2
35,1863,785,2
36,1610,677,2
37,1241,522,2
38,1001,459,2
39,1456,651,2
40,1313,577,2
41,1005,462,2
42,839,378,2
43,833,377,2
44,1062,452,2
45,1582,709,2
46,922,426,2
47,1110,478,2
48,1009,460,2
49,495,227,2
50,1603,725,2
51,3350,1500,2
52,1422,636,2
53,1541,695,2
54,805,362,2
55,3902,1807,2
56,1746,801,2
57,1192,516,2
58,1854,838,2
59,2484,1084,2
60,1093,470,2
61,1477,665,2
62,784,353,2
63,830,374,2
64,1802,812,2
65,1114,479,2
66,654,287,2
67,2061,871,2
68,1347,591,2
69,2067,874,2
70,582,254,2
71,1886,854,2
72,1948,903,2
73,1126,483,2
74,1142,491,2
75,1519,676,2
76,1427,637,2
77,586,254,2
78,1377,607,2
79,2019,920,2
80,1830,838,2
81,4670,2013,2
82,1573,704,2
83,2298,985,2
84,1155,497,2
85,1853,855,2
86,692,305,2
87,1289,569,2
88,994,454,2
89,1284,567,2
90,1502,675,2
91,1460,646,2
92,980,444,2
93,2114,896,2
94,4848,2108,2
95,1014,463,2
96,3397,1539,2
97,2317,999,2
98,1599,722,2
99,745,331,2
100,1028,435,2
101,1866,842,2
102,1510,673,2
103,1472,655,2
104,777,354,2
105,1215,526,2
106,1177,512,2
107,2072,875,2
108,781,353,2
109,596,258,2
110,908,411,2
111,2637,1165,2
112,1403,625,2
113,659,290,2
114,3449,1555,2
115,1295,570,2
116,3194,1435,2
117,943,432,2
118,1687,756,2
119,718,322,2
120,1795,810,2
121,961,436,2
122,3016,1340,2
123,1735,780,2
124,2889,1274,2
125,3813,1749,2
126,919,417,2
127,2405,1038,2
128,1488,661,2
129,937,424,2
130,1685,766,2
131,861,397,2
132,365,163,2
133,1408,624,2
134,1318,576,2
135,1679,765,2
136,1690,774,2
137,839,379,2
138,1104,474,2
139,1861,859,2
140,2234,959,2
141,2021,926,2
142,2687,1178,2
143,1230,533,2
144,2103,891,2
145,761,339,2
146,2024,931,2
147,1220,536,2
148,1999,913,2
149,1656,741,2
150,2221,952,2
151,1126,487,2
152,1164,505,2
153,1934,879,2
154,3381,1535,2
155,892,404,2
156,946,440,2
157,2203,945,2
158,2419,1046,2
159,1153,499,2
160,4230,1791,2
161,971,445,2
162,3265,1473,2
163,1167,504,2
164,600,261,2
165,1295,574,2
166,2014,936,2
167,1641,739,2
168,1284,562,2
169,1186,514,2
170,3128,1411,2
171,720,319,2
172,927,422,2
173,2897,1288,2
174,1477,659,2
175,1930,885,2
176,1320,580,2
177,1396,617,2
178,1535,685,2
179,1255,550,2
180,1437,641,2
181,743,330,2
182,1280,562,2
183,1701,771,2
184,4148,1752,2
185,730,325,2
186,1131,485,2
187,1296,567,2
188,1821,826,2
189,966,440,2
190,1767,806,2
191,1743,788,2
192,1817,842,2
193,1078,460,2
194,3047,1347,2
195,946,429,2
196,3002,1349,2
197,2496,1085,2
198,854,385,2
199,577,250,2
200,1164,505,2
201,1136,488,2
202,1602,725,2
203,2380,1025,2
204,2110,895,2
205,1107,475,2
206,1060,452,2
207,1543,691,2
208,1013,469,2
209,4007,1834,2
210,1395,616,2
211,1910,862,2
212,1113,477,2
213,847,382,2
214,1790,814,2
215,2388,1034,2
216,1781,811,2
217,398,180,2
218,1194,516,2
219,1279,565,2
220,1079,460,2
221,2097,890,2
222,3069,1365,2
223,1393,624,2
224,1786,805,2
225,1347,596,2
226,1124,482,2
227,2297,989,2
228,1292,565,2
229,1312,573,2
230,1874,849,2
231,1993,915,2
232,602,262,2
233,2255,971,2
234,1653,743,2
235,760,339,2
236,2046,929,2
237,2646,1166,2
238,1044,443,2
239,792,358,2
240,1253,551,2
241,1755,788,2
242,2162,919,2
243,1919,873,2
244,1353,602,2
245,1399,622,2
246,2438,1059,2
247,846,382,2
248,2034,951,2
249,1067,455,2
250,954,437,2
251,944,438,2
252,684,306,2
253,2563,1121,2
254,2442,1063,2
255,1458,649,2
256,1062,452,2
257,3323,1506,2
258,2316,996,2
259,1427,631,2
260,1484,666,2
261,990,451,2
262,1052,447,2
263,1607,726,2
264,1496,672,2
265,1557,693,2
266,941,434,2
267,1043,444,2
268,1033,438,2
269,673,296,2
270,1912,873,2
271,1082,463,2
272,1605,724,2
273,650,286,2
274,814,366,2
275,884,398,2
276,2458,1070,2
277,874,396,2
278,1028,435,2
279,2326,1000,2
280,903,411,2
281,800,360,2
282,948,438,2
283,1240,542,2
284,1976,906,2
285,1272,558,2
286,1578,709,2
287,802,358,2
288,2521,1106,2
289,815,372,2
290,1767,802,2
291,2170,927,2
292,3794,1726,2
293,2421,1050,2
294,2947,1309,2
295,1033,439,2
296,717,323,2
297,2296,992,2
298,1532,681,2
299,695,308,2
300,3643,1653,2
301,701,309,2
302,1828,832,6
303,1850,837,2
304,1355,597,2
305,2343,1016,2
306,1222,532,2
307,2050,866,2
308,2286,980,2
309,2198,938,2
310,1026,435,2
311,1250,544,2
312,3175,1439,2
313,1098,471,2
314,1068,456,2
315,1140,491,2
316,1533,686,2
317,2250,968,2
318,1688,760,2
319,2179,929,2
320,1162,504,2
321,1334,586,2
322,1086,465,2
323,1847,836,2
324,2061,872,2
325,784,350,2
326,2104,893,2
327,2686,1177,2
328,1210,525,2
329,3406,1546,2
330,764,346,2
331,512,235,2
332,1119,481,2
333,2015,931,2
334,1995,925,2
335,2784,1228,2
336,2301,987,2
337,992,459,2
338,2431,1059,2
339,1226,536,2
340,2476,1076,2
341,792,359,2
342,1262,555,2
343,1155,499,2
344,4763,2050,2
345,1658,745,2
346,858,395,2
347,951,432,2
348,2191,936,2
349,1600,721,2
350,1372,605,2
351,318,140,2
352,1841,840,2
353,1412,632,2
354,1424,628,2
355,2750,1210,2
356,1717,778,2
357,3779,1712,2
358,1024,468,2
359,981,448,2
360,2004,925,2
361,3272,1463,2
362,1036,440,2
363,565,245,2
364,1268,557,2
365,1548,693,2
366,1896,877,2
367,1416,630,2
368,1292,568,2
369,2202,939,2
370,925,420,2
371,1623,736,2
372,1992,928,2
373,1408,632,2
374,629,277,2
375,1735,789,2
376,3625,1642,2
377,1262,552,2
378,3389,1540,2
379,932,430,2
380,3241,1464,2
381,1626,726,2
382,1331,583,2
383,1768,810,2
384,932,422,2
385,2344,1016,2
386,1665,752,2
387,1466,655,2
388,3831,1771,2
389,1249,545,2
390,1288,567,2
391,1595,719,2
392,727,326,2
393,4024,1841,2
394,2327,1001,2
395,1665,745,2
396,555,239,2
397,986,449,2
398,1525,680,2
399,1928,879,2
400,1146,493,2
401,872,396,2
402,1547,690,2
403,1452,643,2
404,3797,1737,2
405,1672,758,2
406,1407,627,2
407,915,413,2
408,1068,456,2
409,649,286,2
410,1013,467,2
411,685,303,2
412,4660,2015,2
413,2768,1230,2
414,1009,461,2
415,947,433,2
416,2035,927,2
417,1100,472,2
418,3057,1372,2
419,2233,960,2
420,1835,835,2
421,2110,897,2
422,786,354,2
423,529,226,2
424,895,407,2
425,865,392,2
426,576,251,2
427,749,337,2
428,1090,466,2
429,1306,572,2
430,1310,576,2
431,1172,506,2
432,1278,557,2
433,4657,2000,2
434,1265,557,2
435,2167,926,2
436,2414,1048,2
437,2474,1073,2
438,1233,535,2
439,951,434,2
440,2122,901,2
441,716,318,2
442,621,274,2
443,814,366,2
444,1042,443,2
445,1079,461,2
446,1267,554,6
447,688,306,2
448,807,368,2
449,1194,519,2
450,2118,899,2
451,1491,670,2
452,1328,583,2
453,2798,1229,2
454,3624,1629,2
455,1397,615,2
456,2079,881,2
457,2467,1074,2
458,526,225,2
459,1271,553,2
460,1329,589,2
461,1134,489,2
462,2072,877,2
463,628,275,2
464,2432,1055,2
465,2167,927,2
466,993,451,2
467,2883,1290,2
468,1308,571,2
469,742,330,2
470,613,270,2
471,831,373,2
472,1493,676,2
473,1697,772,2
474,1358,604,2
475,2762,1225,2
476,994,451,2
477,1691,760,2
478,751,336,2
479,2286,982,2
480,1160,502,2
481,943,431,2
482,6037,2664,2
483,1348,591,2
484,2537,1107,2
485,2135,909,2
486,2285,981,2
487,1772,801,2
488,1807,827,2
489,2375,1032,2
490,874,402,2
491,1339,596,2
492,2075,878,2
493,1731,785,2
494,1566,696,2
495,3160,1435,2
496,1396,618,2
497,756,337,2
498,1032,437,2
499,1050,447,2
500,1141,490,2
501,3166,1411,2
502,2469,1069,2
503,1948,898,2
504,1019,464,2
505,1062,452,2
506,877,398,2
507,2329,1001,2
508,1479,660,2
509,1424,629,2
510,721,319,2
511,896,410,2
512,1775,808,2
513,728,325,2
514,1333,586,2
515,2288,986,2
516,3204,1424,2
517,1501,675,2
518,1835,836,2
519,1955,888,2
520,992,454,2
521,1957,894,2
522,1807,820,2
523,1365,598,2
524,3397,1530,2
525,2226,952,2
526,872,398,2
527,1412,621,2
528,1816,836,2
529,2903,1283,2
530,651,288,2
531,1138,489,2
532,2438,1053,2
533,1288,565,2
534,1170,509,2
535,1361,601,2
536,1407,620,2
537,780,350,2
538,1801,813,2
539,1083,465,2
540,1735,783,2
541,732,325,2
542,1817,837,2
543,1395,616,2
544,527,225,2
545,1347,596,2
546,521,223,2
547,1459,647,2
548,5047,2198,2
549,1234,537,2
550,5192,2286,2
551,855,394,2
552,3020,1350,2
553,785,354,2
554,942,435,2
555,1303,576,2
556,2708,1186,2
557,1804,816,2
558,3634,1636,2
559,593,258,2
560,665,296,2
561,1558,696,2
562,849,390,2
563,2416,1052,2
564,2057,868,2
565,1119,481,2
566,1612,720,2
567,2076,878,2
568,2272,972,2
569,840,386,2
570,1128,487,2
571,1389,621,2
572,1903,864,2
573,1579,718,2
574,1125,485,2
575,862,393,2
576,561,243,2
577,1178,512,2
578,718,318,2
579,534,228,2
580,1971,902,2
581,942,432,2
582,776,349,2
583,2334,1003,2
584,1617,727,2
585,1580,703,2
586,1155,499,2
587,889,405,2
588,1698,762,2
589,1135,489,2
590,1960,912,2
591,624,276,2
592,4043,1860,2
593,1758,790,2
594,1242,545,2
595,1272,558,2
596,815,365,2
597,1046,445,2
598,1153,497,2
599,538,231,2
600,3505,1586,2
601,2530,1109,2
602,1568,704,2
603,1331,588,2
604,2207,944,2
605,1460,653,2
606,1055,449,2
607,3033,1342,2
608,2642,1160,2
609,1412,626,2
610,833,379,2
611,601,262,2
612,2370,1024,2
613,1306,572,2
614,968,441,2
615,2534,1107,2
616,681,303,2
617,1863,848,2
618,2837,1251,2
619,4710,2023,2
620,639,280,2
621,775,346,2
622,2189,938,2
623,1241,541,2
624,957,436,2
625,3616,1652,2
626,897,412,2
627,4170,1761,2
628,1263,550,2
629,1746,797,2
630,753,337,2
631,2563,1119,2
632,1698,761,2
633,986,448,2
634,1277,558,2
635,884,399,2
636,1141,494,2
637,1950,885,2
638,1234,538,2
639,2440,1053,2
640,1341,592,2
641,943,435,2
642,1342,595,2
643,1456,643,2
644,1210,525,2
645,623,275,2
646,1765,809,2
647,1757,792,2
648,4611,1983,2
649,3130,1397,2
650,523,224,2
651,2518,1093,2
652,636,279,2
653,1084,463,2
654,1256,548,2
655,2553,1123,2
656,982,445,2
657,823,371,2
658,960,444,2
659,783,355,2
660,1218,532,2
661,1477,655,2
662,3021,1337,2
663,1925,873,2
664,1979,907,2
665,2510,1088,2
666,1016,475,2
667,1228,537,2
668,989,458,2
669,635,280,2
670,880,397,2
671,2319,1000,2
672,855,384,2
673,2035,935,2
674,992,450,2
675,3060,1357,2
676,1307,571,2
677,758,344,2
678,897,409,2
679,2284,983,2
680,1228,538,2
681,926,423,2
682,2523,1096,2
683,594,258,2
684,3055,1364,2
685,727,326,2
686,2386,1029,2
687,628,275,2
688,1071,458,2
689,997,454,2
690,2714,1192,2
691,526,225,2
692,1087,466,2
693,2720,1194,2
694,1003,463,2
695,1522,684,2
696,450,206,2
697,647,285,2
698,1479,660,2
699,936,429,2
700,959,436,2
701,2622,1146,2
702,2001,922,2
703,2072,877,2
704,1163,503,2
705,844,381,2
706,1188,516,2
707,1627,728,2
708,1356,595,2
709,1107,475,6
710,1918,879,2
711,1436,644,2
712,2157,918,2
713,1371,606,2
714,1734,782,2
715,1428,632,2
716,2108,894,2
717,1228,534,2
718,2260,968,2
719,1961,909,2
720,1197,519,2
721,1367,606,2
722,2353,1017,2
723,1356,597,2
724,787,355,2
725,3138,1409,2
726,1805,815,2
727,775,354,2
728,613,268,2
729,1582,705,2
730,1227,533,2
731,2252,966,2
732,771,344,2
733,1151,495,2
734,1320,584,2
735,2076,878,2
736,1077,460,2
737,3097,1375,2
738,921,416,2
739,1106,477,2
740,671,295,2
741,1628,739,2
742,1753,803,2
743,2375,1028,2
744,1248,544,2
745,873,398,2
746,1150,497,2
747,1142,492,2
748,1603,726,2
749,1406,626,2
750,988,465,2
751,679,302,2
752,3417,1529,2
753,1509,675,2
754,1507,673,2
755,1815,835,2
756,1255,550,2
757,2238,956,2
758,657,288,2
759,1839,840,2
760,506,231,2
761,4237,1794,2
762,2725,1194,2
763,2123,900,2
764,1323,586,2
765,1089,466,2
766,2664,1164,2
767,984,447,2
768,849,386,2
769,1231,535,2
770,1616,721,2
771,1808,828,2
772,1024,468,2
773,3208,1435,2
774,1467,651,2
775,565,245,2
776,1076,459,2
777,3079,1367,2
778,577,251,2
779,922,419,2
780,951,431,2
781,1467,659,2
782,1919,878,2
783,1860,844,2
784,1475,663,2
785,2233,955,2
786,1744,790,2
787,1861,853,2
788,2953,1328,2
789,662,295,2
790,3442,1547,2
791,991,452,2
792,1014,466,2
793,837,377,2
794,1173,508,2
795,1189,515,2
796,1053,449,2
797,4347,1851,2
798,883,406,2
799,744,337,2
800,1365,607,2
801,1649,745,2
802,3715,1694,2
803,2407,1040,2
804,515,219,2
805,2577,1122,2
806,1837,853,2
807,879,400,2
808,726,325,2
809,2170,927,2
810,1681,758,2
811,1791,819,6
812,1884,860,2
813,1264,550,2
814,2264,971,2
815,876,404,2
816,679,303,2
817,1411,630,2
818,2172,925,2
